final_node_in_dim,reservoir_units_max,reservoir_units_mean,spectral_radius_max,spectral_radius_mean,leak_rate_max,leak_rate_mean,nvar_order_max,nvar_outputs_max,num_reservoirs,num_nonnvar_reservoirs,has_nvar,has_rls,has_lms,has_ip,two_stage_readout,sr_subcritical,sr_bin,sr_supercritical,high_order_nvar,nrmse,r2,dataset
1792,1790,1790.0,1.1112558855135428,1.1112558855135428,0.49236798688513206,0.49236798688513206,1,0,2,1,1,0,0,0,0,0,super,1,0,1.0464398639802548,0.9993612219344549,laser
1792,1790,1790.0,1.1112558855135428,1.1112558855135428,0.49236798688513206,0.49236798688513206,1,0,2,1,1,0,0,0,0,0,super,1,0,1.047442990460262,0.9993599966708906,laser
1792,1790,1790.0,1.1112558855135428,1.1112558855135428,0.49236798688513206,0.49236798688513206,1,0,2,1,1,0,0,0,0,0,super,1,0,1.0508532180450798,0.9993558224867624,laser
1792,1790,1790.0,1.1112558855135428,1.1112558855135428,0.49236798688513206,0.49236798688513206,1,0,2,1,1,0,0,0,0,0,super,1,0,1.0522163182987174,0.999354150230332,laser
1794,1790,1790.0,1.1112558855135428,1.1112558855135428,0.49236798688513206,0.49236798688513206,1,0,2,1,1,0,0,0,0,0,super,1,0,1.072545092439694,0.9993289535802671,laser
1792,1790,1790.0,1.1112558855135428,1.1112558855135428,0.49236798688513206,0.49236798688513206,1,0,2,1,1,0,0,0,0,0,super,1,0,1.076182558827955,0.9993243942421002,laser
1086,1086,1086.0,0.8227824697913613,0.8227824697913613,0.899026527769043,0.899026527769043,1,0,2,1,1,0,0,1,0,1,near,0,0,1.0824818268466343,0.9993164619872874,laser
1796,1790,1790.0,0.7798586452094824,0.7798586452094824,0.9109400221242938,0.9109400221242938,3,0,2,1,1,0,0,0,0,1,near,0,0,1.0827893308350611,0.9993160735825776,laser
1965,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,1,0,2,1,1,0,0,0,0,0,super,1,0,1.0912532642869395,0.9993053395790836,laser
1965,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,4,0,2,1,1,0,0,0,0,0,super,1,1,1.0923551926010713,0.999303935959065,laser
1970,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,4,0,2,1,1,0,0,0,0,0,super,1,1,1.0933230996879328,0.9993027018846398,laser
1086,1086,1086.0,0.8227824697913613,0.8227824697913613,0.899026527769043,0.899026527769043,1,0,2,1,1,0,0,1,0,1,near,0,0,1.0944335790903985,0.9993012846852086,laser
1792,1790,1790.0,1.1112558855135428,1.1112558855135428,0.49236798688513206,0.49236798688513206,1,0,2,1,1,0,0,0,0,0,super,1,0,1.0967146568691637,0.9992983690492561,laser
1086,1086,1086.0,0.8227824697913613,0.8227824697913613,0.899026527769043,0.899026527769043,1,0,2,1,1,0,0,1,0,1,near,0,0,1.1071852657907444,0.9992849078035295,laser
1792,1790,1790.0,1.1112558855135428,1.1112558855135428,0.49236798688513206,0.49236798688513206,1,0,2,1,1,0,0,0,0,0,super,1,0,1.1082715482884715,0.9992835039315223,laser
1965,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,4,0,2,1,1,0,0,0,0,0,super,1,1,1.1087703241845275,0.9992828588705058,laser
1970,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,4,0,2,1,1,0,0,0,0,0,super,1,1,1.10985366325152,0.9992814568009718,laser
1965,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,4,0,2,1,1,0,0,0,0,0,super,1,1,1.1106160782378232,0.9992804692540782,laser
1967,1961,1961.0,0.9620821412452278,0.9620821412452278,0.5711477183440175,0.5711477183440175,1,0,2,1,1,0,0,0,0,1,near,0,0,1.1126193220044476,0.9992778712448309,laser
1965,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,4,0,2,1,1,0,0,0,0,0,super,1,1,1.1137569569566055,0.9992763937603214,laser
2117,2093,2093.0,1.1766001836151556,1.1766001836151556,0.6590969259448258,0.6590969259448258,3,0,2,1,1,0,0,0,0,0,super,1,0,1.1347207425172707,0.9992488971134204,laser
1202,1189,1189.0,1.048432401267641,1.048432401267641,0.8616941110439718,0.8616941110439718,3,0,2,1,1,0,0,0,0,0,super,1,0,1.1350091564254576,0.9992485152466909,laser
1965,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,4,0,2,1,1,0,0,0,0,0,super,1,1,1.135825338069117,0.9992474340772818,laser
1086,1086,1086.0,0.8227824697913613,0.8227824697913613,0.899026527769043,0.899026527769043,1,0,2,1,1,0,0,1,0,1,near,0,0,1.1369618114226383,0.9992459273332979,laser
1970,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,4,0,2,1,1,0,0,0,0,0,super,1,1,1.1390349512310507,0.9992431748691264,laser
1965,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,1,0,2,1,1,0,0,0,0,0,super,1,0,1.1391546696849582,0.9992430157683085,laser
1967,1961,1961.0,1.1766001836151556,1.1766001836151556,0.6590969259448258,0.6590969259448258,3,0,2,1,1,0,0,0,0,0,super,1,0,1.1467555710270085,0.9992328802558396,laser
1965,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,4,0,2,1,1,0,0,0,0,0,super,1,1,1.1472116203234115,0.9992322699880674,laser
1086,1086,1086.0,0.8227824697913613,0.8227824697913613,0.899026527769043,0.899026527769043,1,0,2,1,1,0,0,1,0,1,near,0,0,1.1498556527674142,0.9992287270632396,laser
1796,1790,1790.0,0.7798586452094824,0.7798586452094824,0.9109400221242938,0.9109400221242938,3,0,2,1,1,0,0,0,0,1,near,0,0,1.1529347365104738,0.9992245909030285,laser
1965,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,4,0,2,1,1,0,0,0,0,0,super,1,1,1.159259143042429,0.9992160605801602,laser
1970,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,4,0,2,1,1,0,0,0,0,0,super,1,1,1.1631916763155947,0.9992107328726345,laser
1965,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,1,0,2,1,1,0,0,0,0,0,super,1,0,1.1654902640610367,0.999207610442673,laser
1965,1963,1963.0,1.0253202654648723,1.0253202654648723,0.9659031719507916,0.9659031719507916,1,0,2,1,1,0,0,0,0,0,super,1,0,1.166925028989037,0.9992056583156388,laser
1796,1790,1790.0,0.7798586452094824,0.7798586452094824,0.9109400221242938,0.9109400221242938,3,0,2,1,1,0,0,0,0,1,near,0,0,1.1711542864313556,0.999199890055933,laser
